total,no,id_pkk,no_pkk,no_pkk_inaportnet,arrive_date_convert,departure_date_convert,arrive_date,departure_date,vessel_name,vessel_code,process_code,name_process_code,active,company_name,name_branch,port_code
53078,1,609365,M09513000008,PKK.DN.IDGRE.2509.000441,2025-09-23 09:00,2025-09-30 18:00,2025-09-23T02:00:00.000Z,2025-09-30T11:00:00.000Z,METRO 0950,M095,0,New,1,"LINTAS SERAM MANDIRI, PT",REGIONAL 3 TANJUNG PERAK,IDSUB
53078,2,609354,CV0513000008,PKK.DN.IDGRE.2509.000440,2025-09-23 09:00,2025-09-30 18:00,2025-09-23T02:00:00.000Z,2025-09-30T11:00:00.000Z,CAVALO MARINHO 05,CV05,0,New,1,"LINTAS SERAM MANDIRI, PT",REGIONAL 3 TANJUNG PERAK,IDSUB
53078,3,609325,LI7713000001,PKK.DN.IDSUB.2509.000601,2025-09-17 23:00,2025-09-25 23:00,2025-09-17T16:00:00.000Z,2025-09-25T16:00:00.000Z,LBN I,LI77,0,New,1,"ANUGERAH TIRTA SAMUDRA, PT",REGIONAL 3 TANJUNG PERAK,IDSUB
53078,4,609320,YDM213000015,PKK.DN.IDGRE.2509.000439,2025-09-16 17:00,2025-10-16 12:00,2025-09-16T10:00:00.000Z,2025-10-16T05:00:00.000Z,BUNGA TERATAI 168,YDM2,1,Request PPKB,1,PT. TOMS DENTA SAMUDERA ,REGIONAL 3 TANJUNG PERAK,IDSUB
53078,5,609309,MU0013000276,PKK.DN.IDSUB.2509.000600,2025-09-17 01:00,2025-09-17 09:00,2025-09-16T18:00:00.000Z,2025-09-17T02:00:00.000Z,MILA UTAMA,MU00,0,New,1,"TIMUR MILA UTAMA, PT",REGIONAL 3 TANJUNG PERAK,IDSUB
53078,6,609271,DBL013000353,PKK.DN.IDSUB.2509.000599,2025-09-17 00:00,2025-09-17 20:00,2025-09-16T17:00:00.000Z,2025-09-17T13:00:00.000Z,DLN BATU LAYAR,DBL0,0,New,1,"DAMAI LAUTAN NUSANTARA, PT",REGIONAL 3 TANJUNG PERAK,IDSUB
53078,7,609256,ZCHY13000010,PKK.DN.IDSUB.2509.000598,2025-09-18 06:00,2025-09-25 23:00,2025-09-17T23:00:00.000Z,2025-09-25T16:00:00.000Z,BERKAT MANDIRI 55,ZCHY,0,New,1,"GLOBAL LOGISTIK AGENSI, PT",REGIONAL 3 TANJUNG PERAK,IDSUB
53078,8,609237,PQI513000081,PKK.DN.IDSUB.2509.000597,2025-09-17 07:00,2025-09-25 08:00,2025-09-17T00:00:00.000Z,2025-09-25T01:00:00.000Z,HERLIN NUSANTARA 9,PQI5,0,New,1,PT. GLOBAL TOTAL LUBRINDO,REGIONAL 3 TANJUNG PERAK,IDSUB
53078,9,609215,YW0E13000007,PKK.DN.IDGRE.2509.000438,2025-09-17 23:00,2025-09-29 15:00,2025-09-17T16:00:00.000Z,2025-09-29T08:00:00.000Z,PUMA 78,YW0E,1,Request PPKB,1,"PELAYARAN PUTRAUTAMAMANDIRI LINES, PT",REGIONAL 3 TANJUNG PERAK,IDSUB
53078,10,609214,9V3W13000006,PKK.DN.IDGRE.2509.000437,2025-09-17 23:00,2025-09-29 15:00,2025-09-17T16:00:00.000Z,2025-09-29T08:00:00.000Z,PUMA 11,9V3W,1,Request PPKB,1,"PELAYARAN PUTRAUTAMAMANDIRI LINES, PT",REGIONAL 3 TANJUNG PERAK,IDSUB
53078,11,609171,SI8813000032,PKK.DN.IDGRE.2509.000435,2025-09-19 09:00,2025-09-29 18:00,2025-09-19T02:00:00.000Z,2025-09-29T11:00:00.000Z,SINGSING 88,SI88,0,New,1,"LINTAS SERAM MANDIRI, PT",REGIONAL 3 TANJUNG PERAK,IDSUB
53078,12,609170,CV3W13000032,PKK.DN.IDGRE.2509.000434,2025-09-19 09:00,2025-09-29 18:00,2025-09-19T02:00:00.000Z,2025-09-29T11:00:00.000Z,SINGSING POWER,CV3W,0,New,1,"LINTAS SERAM MANDIRI, PT",REGIONAL 3 TANJUNG PERAK,IDSUB
53078,13,609158,IP0013000086,PKK.DN.IDSUB.2509.000596,2025-09-17 08:00,2025-09-24 23:00,2025-09-17T01:00:00.000Z,2025-09-24T16:00:00.000Z,ICON PERDANA,IP00,0,New,1,"INDO CONTAINER LINES, PT",REGIONAL 3 TANJUNG PERAK,IDSUB
53078,14,609151,RX0013000141,PKK.DN.IDGRE.2509.000431,2025-09-17 00:30,2025-09-18 07:30,2025-09-16T17:30:00.000Z,2025-09-18T00:30:00.000Z,RPB XVII,RX00,1,Request PPKB,1,"MATSUURA INDONESIA JAYA, PT",REGIONAL 3 TANJUNG PERAK,IDSUB
53078,15,609124,PLT813000001,PKK.DN.IDGRE.2509.000429,2025-09-16 15:00,2025-09-23 23:00,2025-09-16T08:00:00.000Z,2025-09-23T16:00:00.000Z,PELITA 08,PLT8,0,New,1,PT. ELEANOR PRADANA SHIPPING,REGIONAL 3 TANJUNG PERAK,IDSUB
53078,16,609122,JZHM13000002,PKK.LN.IDGRE.2509.000428,2025-09-17 15:00,2025-09-24 20:00,2025-09-17T08:00:00.000Z,2025-09-24T13:00:00.000Z,MV. CL JEDDAH,JZHM,0,New,1,"IDT TRANS AGENCY, PT",REGIONAL 3 TANJUNG PERAK,IDSUB
53078,17,609056,DBQZ13000007,PKK.DN.IDGRE.2509.000427,2025-09-18 13:00,2025-09-25 23:00,2025-09-18T06:00:00.000Z,2025-09-25T16:00:00.000Z,BSS 888,DBQZ,0,New,1,"PERUSAHAAN PELAYARAN NASIONAL BAHTERA SETIA, PT",REGIONAL 3 TANJUNG PERAK,IDSUB
53078,18,609054,7LLB13000008,PKK.DN.IDGRE.2509.000426,2025-09-18 13:00,2025-09-25 23:00,2025-09-18T06:00:00.000Z,2025-09-25T16:00:00.000Z,BUR 5,7LLB,0,New,1,"PERUSAHAAN PELAYARAN NASIONAL BAHTERA SETIA, PT",REGIONAL 3 TANJUNG PERAK,IDSUB
53078,19,609042,BRM513000013,PKK.DN.IDSUB.2509.000595,2025-09-18 06:00,2025-09-25 23:00,2025-09-17T23:00:00.000Z,2025-09-25T16:00:00.000Z,BERKAT MANDIRI 5,BRM5,0,New,1,"GLOBAL LOGISTIK AGENSI, PT",REGIONAL 3 TANJUNG PERAK,IDSUB
53078,20,609008,S05413000063,PKK.DN.IDSUB.2509.000594,2025-09-17 16:00,2025-09-18 18:00,2025-09-17T09:00:00.000Z,2025-09-18T11:00:00.000Z,DERYA MAS,S054,0,New,1,"TEMAS SHIPPING, PT",REGIONAL 3 TANJUNG PERAK,IDSUB
53078,21,609001,NLFY13000022,PKK.DN.IDSUB.2509.000593,2025-09-18 03:00,2025-09-22 03:00,2025-09-17T20:00:00.000Z,2025-09-21T20:00:00.000Z,TANTO SENTOSA,NLFY,0,New,1,"TANTO INTIM LINE, PT",REGIONAL 3 TANJUNG PERAK,IDSUB
53078,22,608974,E12213000002,PKK.DN.IDSUB.2509.000592,2025-09-16 11:00,2025-09-26 10:00,2025-09-16T04:00:00.000Z,2025-09-26T03:00:00.000Z,ERICA 12,E122,1,Request PPKB,1,PT.TRANS MARITIM AGENSI,REGIONAL 3 TANJUNG PERAK,IDSUB
53078,23,608983,LM0213000012,PKK.DN.IDGRE.2509.000425,2025-09-17 07:00,2025-09-21 23:00,2025-09-17T00:00:00.000Z,2025-09-21T16:00:00.000Z,LUMINOR 2,LM02,0,New,1,"ANUGERAH PRIMA SAMUDERA, PT",REGIONAL 3 TANJUNG PERAK,IDSUB
53078,24,608982,XQPX13000012,PKK.DN.IDGRE.2509.000424,2025-09-17 07:00,2025-09-21 23:00,2025-09-17T00:00:00.000Z,2025-09-21T16:00:00.000Z,AZURA II,XQPX,0,New,1,"ANUGERAH PRIMA SAMUDERA, PT",REGIONAL 3 TANJUNG PERAK,IDSUB
53078,25,608966,RR5513000047,PKK.DN.IDSUB.2509.000591,2025-09-17 10:00,2025-09-19 18:00,2025-09-17T03:00:00.000Z,2025-09-19T11:00:00.000Z,RED RESOURCE,RR55,0,New,1,"MERATUS LINE, PT",REGIONAL 3 TANJUNG PERAK,IDSUB
53078,26,608956,MK4413000117,PKK.DN.IDSUB.2509.000590,2025-09-18 09:00,2025-09-20 16:00,2025-09-18T02:00:00.000Z,2025-09-20T09:00:00.000Z,MERATUS KAPUAS,MK44,0,New,1,"MERATUS LINE, PT",REGIONAL 3 TANJUNG PERAK,IDSUB
53078,27,608951,MB4013000001,PKK.LN.IDSUB.2509.000589,2025-09-21 07:00,2025-09-27 07:00,2025-09-21T00:00:00.000Z,2025-09-27T00:00:00.000Z,M.V. ARMONIA,MB40,0,New,1,"PELAYARAN KARANA LINE, PT",REGIONAL 3 TANJUNG PERAK,IDSUB
53078,28,608945,TPB213000004,PKK.DN.IDGRE.2509.000422,2025-09-23 12:00,2025-09-30 15:00,2025-09-23T05:00:00.000Z,2025-09-30T08:00:00.000Z,BMS 008,TPB2,1,Request PPKB,1,MUTIARA TIRTA DEWATA,REGIONAL 3 TANJUNG PERAK,IDSUB
53078,29,608892,P9A013000003,PKK.DN.IDSUB.2509.000588,2025-09-17 23:00,2025-09-23 16:00,2025-09-17T16:00:00.000Z,2025-09-23T09:00:00.000Z,PERMATA 9 A,P9A0,1,Request PPKB,1,"AISDA SHIPPING SERVICE, PT",REGIONAL 3 TANJUNG PERAK,IDSUB
53078,30,608890,LA0C13000004,PKK.DN.IDGRE.2509.000423,2025-09-23 12:00,2025-09-30 12:00,2025-09-23T05:00:00.000Z,2025-09-30T05:00:00.000Z,BMS 008 A,LA0C,1,Request PPKB,1,MUTIARA TIRTA DEWATA,REGIONAL 3 TANJUNG PERAK,IDSUB
53078,31,608911,X8EK13000010,PKK.DN.IDGRE.2509.000421,2025-09-16 23:00,2025-09-26 23:00,2025-09-16T16:00:00.000Z,2025-09-26T16:00:00.000Z,INTAN DELIMA,X8EK,1,Request PPKB,1,PT SEROJA JAYA AGENSI,REGIONAL 3 TANJUNG PERAK,IDSUB
53078,32,608905,YS1J13000011,PKK.DN.IDGRE.2509.000420,2025-09-17 06:00,2025-09-30 23:00,2025-09-16T23:00:00.000Z,2025-09-30T16:00:00.000Z,CAHAYA 889,YS1J,1,Request PPKB,1,PT SEROJA JAYA AGENSI,REGIONAL 3 TANJUNG PERAK,IDSUB
53078,33,608886,PUEU13000010,PKK.DN.IDGRE.2509.000419,2025-09-16 23:00,2025-09-26 23:00,2025-09-16T16:00:00.000Z,2025-09-26T16:00:00.000Z,INTAN MARINE 02,PUEU,1,Request PPKB,1,PT SEROJA JAYA AGENSI,REGIONAL 3 TANJUNG PERAK,IDSUB
53078,34,608901,V11113000014,PKK.DN.IDGRE.2509.000418,2025-09-23 12:00,2025-09-30 12:00,2025-09-23T05:00:00.000Z,2025-09-30T05:00:00.000Z,VICTORIA 11,V111,1,Request PPKB,1,MUTIARA TIRTA DEWATA,REGIONAL 3 TANJUNG PERAK,IDSUB
