no_pkk,no_pkk_inaportnet,vessel_name_spb,company_name,name_process_code,gt,loa,name_branch,departure_date,nomor_pkk,nomor_spb,vessel_name_wasop,waktu_tolak,NAMA KAPAL,GT,LOA,DARI,KE,PERUSAHAAN,NO SPK PANDU,NO PKK INAPORTNET,NO PKK,NAMA PANDU,MULAI PANDU,SELESAI PANDU,KAPAL TUNDA 1,KAPAL TUNDA 2,KAPAL TUNDA 3,MULAI TUNDA,SELESAI TUNDA,ZONA,STATUS NOTA
I28957000005,PKK.DN.IDKBU.2509.000487,BNP 3 JG,PT. ALWIESTA NIAGA MANDIRI,Request PPKB,3103.0,91.44,KOTABARU,2025-09-17 02:00,nan,,,,BNP 3 JG,3103,91.44,LAUT,REDE TARJUN,PT. ALWIESTA NIAGA MANDIRI,IDKBU-PLD-SPK.2509.009674,PKK.DN.IDKBU.2509.000487,I28957000005,HERMAN ISKANDAR MUDA,17-09-2025 09:00,17-09-2025 09:25,,,,,,KOTABARU,BELUM VERIFIKASI
ZMVK57000003,PKK.DN.IDKBU.2507.000071,LIANA XXI,PT. ALWIESTA NIAGA MANDIRI,Request PPKB,4170.0,100.58,KOTABARU,2025-07-04 02:00,nan,,,,LIANA XXI,4170,100.58,REDE TARJUN,STS TG PEMANCING,PT. ALWIESTA NIAGA MANDIRI,IDKBU-PLD-SPK.2511.012156,PKK.DN.IDKBU.2507.000071,ZMVK57000003,BUNYAMIN NURIADIN,19-11-2025 11:40,19-11-2025 12:01,,,,,,STS KOTABARU,BELUM VERIFIKASI
O60057000002,PKK.DN.IDKBU.2506.000369,LIANA LXIII,PT. ALWIESTA NIAGA MANDIRI,Request PPKB,4362.0,100.58,KOTABARU,2025-06-15 02:00,nan,,,,LIANA LXIII,4362,100.58,REDE TARJUN,STS TG PEMANCING,PT. ALWIESTA NIAGA MANDIRI,IDKBU-PLD-SPK.2511.012196,PKK.DN.IDKBU.2506.000369,O60057000002,BUNYAMIN NURIADIN,19-11-2025 22:50,19-11-2025 23:05,,,,,,STS KOTABARU,BELUM VERIFIKASI
QVLY57000001,PKK.DN.IDSTU.2504.000069,RMN 3330,PT. PELAYARAN KARTIKASAMUDRA ADIJAYA,Request PPKB,4338.0,100.58,KOTABARU,2025-04-07 15:55,nan,,,,RMN 3330,4338,100.58,STS BUNATI,DERMAGA BORNEO INDOBARA,PT. PELAYARAN KARTIKASAMUDRA ADIJAYA,IDSTU-PLD-SPK.2511.015705,PKK.DN.IDSTU.2504.000069,QVLY57000001,TRI SUDIYATMO SAPUTRO,23-11-2025 01:16,23-11-2025 01:54,,,,,,ZONA SATUI & BUNATI,BELUM VERIFIKASI
9Q9157000001,PKK.DN.IDKBU.2505.000326,LIANA VI,PT. ALWIESTA NIAGA MANDIRI,Request PPKB,4307.0,100.58,KOTABARU,2025-05-14 02:00,nan,,,,LIANA VI,4307,100.58,REDE TARJUN,STS TG PEMANCING,PT. ALWIESTA NIAGA MANDIRI,IDKBU-PLD-SPK.2511.011416,PKK.DN.IDKBU.2505.000326,9Q9157000001,MUHAMAD KOMARUDIN,03-11-2025 00:26,03-11-2025 00:41,,,,,,STS KOTABARU,BELUM VERIFIKASI
9ICL57000003,PKK.DN.IDKBU.2509.000588,LIANA LXV,PT. ALWIESTA NIAGA MANDIRI,Request PPKB,4362.0,100.58,KOTABARU,2025-09-20 02:00,nan,,,,LIANA LXV,4362,100.58,REDE TARJUN,STS TG PEMANCING,PT. ALWIESTA NIAGA MANDIRI,IDKBU-PLD-SPK.2511.012154,PKK.DN.IDKBU.2509.000588,9ICL57000003,BUNYAMIN NURIADIN,19-11-2025 11:14,19-11-2025 11:34,,,,,,STS KOTABARU,BELUM VERIFIKASI
D1RM57000001,PKK.DN.IDKBU.2410.000922,BNP 6 JG,PT. ALWIESTA NIAGA MANDIRI,Request PPKB,4170.0,100.58,KOTABARU,2024-10-31 06:00,nan,,,,BNP 6 JG,4170,100.58,REDE TARJUN,STS TG PEMANCING,PT. ALWIESTA NIAGA MANDIRI,IDKBU-PLD-SPK.2511.012078,PKK.DN.IDKBU.2410.000922,D1RM57000001,HERMAN ISKANDAR MUDA,17-11-2025 21:25,17-11-2025 22:00,,,,,,STS KOTABARU,BELUM VERIFIKASI
9VJ457000001,PKK.DN.IDKBU.2405.000414,LIANA LVI,PT. ALWIESTA NIAGA MANDIRI,Request PPKB,4362.0,100.58,KOTABARU,2024-05-17 05:00,nan,,,,LIANA LVI,4362,100.58,REDE TARJUN,STS TG PEMANCING,PT. ALWIESTA NIAGA MANDIRI,IDKBU-PLD-SPK.2511.012098,PKK.DN.IDKBU.2405.000414,9VJ457000001,EKO BUDI SANTOSO,17-11-2025 23:05,17-11-2025 23:22,,,,,,STS KOTABARU,BELUM VERIFIKASI
XF1257000001,PKK.DN.IDSTU.2409.000402,DEWI IRIANA 2,"DIAN CIPTAMAS AGUNG, PT",Request PPKB,3987.0,100.05,KOTABARU,2024-09-15 08:00,nan,,,,,,,,,,,nan,,,,,,,,,,,
G33657000001,PKK.DN.IDSTU.2503.000027,GOLD TRANS 3306,"PELAYARAN LAKSITA ADITYA PARAMA, PT",Request PPKB,4259.0,100.65,KOTABARU,2025-03-03 02:28,nan,,,,,,,,,,,nan,,,,,,,,,,,
