active,created_at,currency_name,description,end_date,fixed_rate,gt_group_name,id,index,name_branch,start_date,status,timezones,total,total_page,tug_type,uper_multiplication,variable_rate,zone_name
1,2023-03-30 16:34,Dollar,US$. 0 sd 3.500 GT,2099-01-01 01:00,187,Kapal 0 sd 3.500 GT,1272,1,REGIONAL 3 TANJUNG PERAK,2022-01-01 01:00,TARIF AKTIF,Asia/Jakarta,134,1,NORMAL,110,0.005,ZONA GRESIK
1,2023-03-30 16:34,Dollar,US$. 0 sd 3.500 GT,2099-01-01 01:00,187,Kapal 0 sd 3.500 GT,1286,2,REGIONAL 3 TANJUNG PERAK,2022-01-01 01:00,TARIF AKTIF,Asia/Jakarta,134,1,EMERGENCY,110,0.005,ZONA GRESIK
1,2023-03-30 16:34,Dollar,US$. 0 sd 3.500 GT,2099-01-01 01:00,936,Kapal 0 sd 3.500 GT,1301,3,REGIONAL 3 TANJUNG PERAK,2022-01-01 01:00,TARIF AKTIF,Asia/Jakarta,134,1,DOCKING,110,0,ZONA GRESIK
1,2023-03-30 16:34,Rupiah,Rp. 0 sd 3.500 GT,2099-01-01 01:00,670500,Kapal 0 sd 3.500 GT,1319,4,REGIONAL 3 TANJUNG PERAK,2022-08-22 23:01,TARIF AKTIF,Asia/Jakarta,134,1,NORMAL,110,30,ZONA GRESIK
1,2023-03-30 16:34,Rupiah,Rp. 0 sd 3.500 GT,2099-01-01 01:00,5000,Kapal 0 sd 3.500 GT,1334,5,REGIONAL 3 TANJUNG PERAK,2022-08-22 23:01,TARIF AKTIF,Asia/Jakarta,134,1,EMERGENCY,110,0,ZONA GRESIK
1,2023-03-30 16:34,Rupiah,Rp. 0 sd 3.500 GT,2099-01-01 01:00,7500000,Kapal 0 sd 3.500 GT,1257,6,REGIONAL 3 TANJUNG PERAK,2022-08-22 23:01,TARIF AKTIF,Asia/Jakarta,134,1,DOCKING,110,0,ZONA GRESIK
1,2023-03-30 16:34,Rupiah,Rp. 0 sd 3.500 GT,2099-01-01 01:00,5000,Kapal 0 sd 3.500 GT,1178,7,REGIONAL 3 TANJUNG PERAK,2022-08-22 23:01,TARIF AKTIF,Asia/Jakarta,134,1,EMERGENCY,110,0,ZONA SURABAYA
1,2023-03-30 16:34,Dollar,US$. 0 sd 3.500 GT,2099-01-01 01:00,187,Kapal 0 sd 3.500 GT,1208,8,REGIONAL 3 TANJUNG PERAK,2022-01-01 01:00,TARIF AKTIF,Asia/Jakarta,134,1,EMERGENCY,110,0,ZONA SURABAYA
1,2023-03-30 16:34,Rupiah,Rp. 0 sd 3.500 GT,2099-01-01 01:00,7500000,Kapal 0 sd 3.500 GT,1223,9,REGIONAL 3 TANJUNG PERAK,2022-08-22 23:01,TARIF AKTIF,Asia/Jakarta,134,1,DOCKING,110,0,ZONA SURABAYA
1,2023-03-30 16:34,Dollar,US$. 0 sd 3.500 GT,2099-01-01 01:00,936,Kapal 0 sd 3.500 GT,1237,10,REGIONAL 3 TANJUNG PERAK,2022-01-01 01:00,TARIF AKTIF,Asia/Jakarta,134,1,DOCKING,110,0,ZONA SURABAYA
