no_pkk,no_pkk_inaportnet,location,shipping_type,package_type,vessel_type,grt,gt,bulan,tahun,moorage_revenue,pilotage_revenue,towage_revenue
MD5713000006,PKK.LN.IDSUB.2509.000751,UMUM,LUAR NEGERI,Petikemas,Container Ship,27061,,September,2025,0,30302602,115417028
4PD413000008,PKK.DN.IDSUB.2509.000514,UMUM,DALAM NEGERI,Bag Cargo,Tongkang / Barge,1373,,September,2025,398170,882900,2866800
00BX13000019,PKK.DN.IDSUB.2509.000513,UMUM,DALAM NEGERI,Tanpa Kemasan,Kapal Motor Tunda (Tug Boat),167,,September,2025,67802,0,0
ID5013000020,PKK.DN.IDSUB.2509.000556,UMUM,DALAM NEGERI,Unitized,General Cargo,1995,,September,2025,578550,944325,2921400
S01913000002,PKK.DN.IDGRE.2509.000243,UMUM,DALAM NEGERI,Bag Cargo,General Cargo,673,,September,2025,537323,765855,1726725
K4UO13000008,PKK.LN.IDSUB.2509.000728,UMUM,DALAM NEGERI,Petikemas,Container Ship,26771,,September,2025,0,30014110,115320864
FNFC13000003,PKK.LN.IDSUB.2509.000729,UMUM,LUAR NEGERI,Petikemas,Container Ship,54466,,September,2025,0,57565096,135182044
Z8TG13000007,PKK.LN.IDSUB.2509.000737,UMUM,LUAR NEGERI,Petikemas,Container Ship,9932,,September,2025,0,13262674,49452172
M37913000088,PKK.DN.IDSUB.2509.000754,UMUM,DALAM NEGERI,Petikemas,Container Ship,2993,,September,2025,0,719370,3041160
FWYC13000010,PKK.LN.IDSUB.2509.000700,UMUM,LUAR NEGERI,Petikemas,Container Ship,26956,,September,2025,0,30198148,115382208
MGJ313000007,PKK.LN.IDSUB.2509.000681,UMUM,DALAM NEGERI,Unitized,General Cargo,7324,,September,2025,11930686,10668236,65871676
B2CM13000034,PKK.DN.IDGRE.2509.000443,TUKS,DALAM NEGERI,Tanpa Kemasan,Tongkang Minyak (Oil Barge),2214,,September,2025,0,1005615,3719850
KM3313000046,PKK.DN.IDSUB.2509.000712,UMUM,DALAM NEGERI,Petikemas,Container Ship,4990,,September,2025,0,899100,4432268
MDJ813000109,PKK.DN.IDSUB.2509.000642,UMUM,DALAM NEGERI,Petikemas,Container Ship,3256,,September,2025,377696,743040,6145440
K17213000009,PKK.DN.IDGRE.2509.000065,REDE TRANSPORT,DALAM NEGERI,Unitized,Tongkang / Barge,2150,,September,2025,0,985230,0
RYL313000002,PKK.DN.IDGRE.2509.000044,TUKS,DALAM NEGERI,Tanpa Kemasan,Tongkang / Barge,1755,,September,2025,0,1226340,3624450
SI3313000021,PKK.DN.IDGRE.2509.000321,TUKS,DALAM NEGERI,Tanpa Kemasan,Self-Propelled Oil Barge (Spob),2420,,September,2025,0,1335600,7431000
4MPT13000012,PKK.DN.IDSUB.2509.000510,UMUM,DALAM NEGERI,Unitized,Kapal Landing Craft Tank (Lct),940,,September,2025,102225,801900,2794800
UOFW13000011,PKK.DN.IDGRE.2509.000387,TUKS,DALAM NEGERI,Curah Kering,Tongkang / Barge,4371,,September,2025,0,1293975,5479586
T2Y113000009,PKK.DN.IDGRE.2508.000536,TUKS,DALAM NEGERI,Tanpa Kemasan,Tongkang Minyak (Oil Barge),1173,,September,2025,0,1126620,3541350
MC0313000066,PKK.DN.IDSUB.2509.000555,UMUM,DALAM NEGERI,Petikemas,Container Ship,5316,,September,2025,924984,928440,8942776
0RVW13000008,PKK.LN.IDGRE.2509.000413,TUKS,LUAR NEGERI,Tanpa Kemasan,Oil And Chemical Tanker,11627,,September,2025,0,14948860,125035584
71VA13000034,PKK.DN.IDGRE.2509.000442,UMUM,DALAM NEGERI,Tanpa Kemasan,Kapal Motor Tunda (Tug Boat),235,,September,2025,5863,0,0
24KK13000004,PKK.DN.IDSUB.2509.000643,UMUM,LUAR NEGERI,Petikemas,Container Ship,7568,,September,2025,0,10910966,66033496
MJ7313000078,PKK.DN.IDSUB.2509.000667,UMUM,DALAM NEGERI,Petikemas,Container Ship,2997,,September,2025,0,719730,3041640
ALHR13000003,PKK.DN.IDSUB.2509.000723,UMUM,DALAM NEGERI,Unitized,Anchor Handling Tug Supply (Ahts),1763,,September,2025,0,608670,0
AIDO13000002,PKK.LN.IDGRE.2509.000395,TUKS,LUAR NEGERI,Tanpa Kemasan,Oil And Chemical Tanker,7760,,September,2025,0,11056436,82361856
FAPU13000008,PKK.DN.IDGRE.2412.000335,TUKS,DALAM NEGERI,Tanpa Kemasan,Kapal Motor Tunda (Tug Boat),67,,September,2025,0,0,0
PA4413000002,PKK.LN.IDGRE.2509.000400,UMUM,LUAR NEGERI,Curah Cair,Asphalt Tanker / Pengangkut Aspal,3378,,September,2025,11518061,6715100,16833158
S05413000063,PKK.DN.IDSUB.2509.000594,UMUM,DALAM NEGERI,Petikemas,Container Ship,5250,,September,2025,761250,922500,4463468
QUD913000130,PKK.DN.IDSUB.2509.000703,UMUM,DALAM NEGERI,Tanpa Kemasan,Ro-Ro Penumpang Dan Barang,3664,,September,2025,132820,779760,6409722
DS8113000014,PKK.DN.IDGRE.2509.000076,TUKS,DALAM NEGERI,Tanpa Kemasan,General Cargo,2216,,September,2025,0,1623600,7369800
4TTS13000001,PKK.DN.IDGRE.2405.000150,REDE TRANSPORT,DALAM NEGERI,Tanpa Kemasan,Tongkang Minyak (Oil Barge),666,,September,2025,0,263475,0
RUTL13000137,PKK.DN.IDSUB.2509.000688,UMUM,DALAM NEGERI,Tanpa Kemasan,Ro-Ro Ferry,12242,,September,2025,887545,1551780,14483272
H14F13000007,PKK.DN.IDGRE.2508.000276,UMUM,DALAM NEGERI,Bag Cargo,Motorized Sailing / Layar Motor,339,,September,2025,1471700,0,0
DS8013000019,PKK.DN.IDGRE.2509.000167,REDE TRANSPORT,DALAM NEGERI,Tanpa Kemasan,Oil Tanker / Tangki Minyak,2765,,September,2025,0,698850,0
TSI413000056,PKK.DN.IDSUB.2509.000458,UMUM,DALAM NEGERI,Petikemas,Container Ship,4811,,September,2025,279038,1765980,8821576
MSJ713000001,PKK.LN.IDSUB.2509.000560,UMUM,LUAR NEGERI,Curah Kering,Bulk Carrier / Curah,40070,,September,2025,0,43066598,146107670
0SNH13000280,PKK.DN.IDGRE.2509.000462,TUKS,DALAM NEGERI,Tanpa Kemasan,Tongkang Minyak (Oil Barge),2194,,September,2025,0,665190,3711150
JG3613000003,PKK.DN.IDGRE.2509.000309,TUKS,DALAM NEGERI,Curah Kering,Tongkang / Barge,3568,,September,2025,0,790740,5359736
2IGR13000003,PKK.DN.IDGRE.2509.000308,TUKS,DALAM NEGERI,Tanpa Kemasan,Kapal Motor Tunda (Tug Boat),218,,September,2025,0,0,0
MW6613000034,PKK.DN.IDSUB.2509.000572,UMUM,DALAM NEGERI,Petikemas,Container Ship,11512,,September,2025,0,1486080,7154036
2PMF13000290,PKK.DN.IDGRE.2509.000461,TUKS,DALAM NEGERI,Tanpa Kemasan,Kapal Motor Tunda (Tug Boat),197,,September,2025,0,0,0
M56213000104,PKK.DN.IDSUB.2509.000647,UMUM,DALAM NEGERI,Petikemas,Container Ship,2996,,September,2025,0,719640,3041520
DO0013000346,PKK.DN.IDSUB.2509.000689,UMUM,DALAM NEGERI,Tanpa Kemasan,Ro-Ro Penumpang Dan Barang,9170,,September,2025,664825,1275300,13745992
MAB413000002,PKK.DN.IDGRE.2509.000194,UMUM,DALAM NEGERI,Curah Cair,Tongkang Minyak (Oil Barge),1099,,September,2025,383881,1113300,3530250
BMU613000020,PKK.DN.IDGRE.2509.000198,TUKS,DALAM NEGERI,Tanpa Kemasan,Kapal Motor Tunda (Tug Boat),153,,September,2025,0,0,0
USJ913000020,PKK.DN.IDGRE.2509.000199,TUKS,DALAM NEGERI,Tanpa Kemasan,Tongkang Minyak (Oil Barge),1343,,September,2025,0,1169280,3576900
89CJ13000002,PKK.DN.IDGRE.2509.000195,UMUM,DALAM NEGERI,Tanpa Kemasan,Kapal Motor Tunda (Tug Boat),86,,September,2025,42914,0,0
S7YU13000006,PKK.DN.IDSUB.2509.000282,UMUM,DALAM NEGERI,Curah Cair,Tongkang Minyak (Oil Barge),2160,,September,2025,1503360,1314135,2956620
KN1913000021,PKK.DN.IDSUB.2509.000351,UMUM,DALAM NEGERI,Petikemas,Container Ship,2195,,September,2025,127310,647550,2945400
LKEM13000012,PKK.DN.IDSUB.2509.000278,UMUM,DALAM NEGERI,Tanpa Kemasan,Kapal Motor Tunda (Tug Boat),153,,September,2025,124236,0,0
Y9EC13000001,PKK.LN.IDGRE.2509.000254,TUKS,LUAR NEGERI,Curah Kering,Bulk Carrier / Curah,29105,,September,2025,0,32203354,158975678
HC0313000020,PKK.DN.IDGRE.2509.000175,TUKS,DALAM NEGERI,Tanpa Kemasan,Tongkang / Barge,1968,,September,2025,0,1281420,3670350
DK1313000011,PKK.DN.IDGRE.2509.000273,TUKS,DALAM NEGERI,Tanpa Kemasan,Kapal Motor Tunda (Tug Boat),208,,September,2025,0,0,0
KP1813000014,PKK.DN.IDGRE.2509.000274,TUKS,DALAM NEGERI,Tanpa Kemasan,Tongkang Minyak (Oil Barge),1314,,September,2025,0,880470,3580800
ADT313000020,PKK.DN.IDGRE.2509.000174,UMUM,DALAM NEGERI,Tanpa Kemasan,Kapal Motor Tunda (Tug Boat),151,,September,2025,0,0,0
HB8013000009,PKK.DN.IDSUB.2509.000420,UMUM,DALAM NEGERI,Bag Cargo,General Cargo,3214,,September,2025,1584502,739260,3067680
SB6913000003,PKK.DN.IDSUB.2509.000432,UMUM,DALAM NEGERI,Tanpa Kemasan,Kapal Motor Tunda (Tug Boat),156,,September,2025,81432,0,0
3B8E13000003,PKK.DN.IDSUB.2509.000431,UMUM,DALAM NEGERI,Curah Kering,Tongkang / Barge,2843,,September,2025,906917,1079865,3041880
S02413000013,PKK.DN.IDGRE.2509.000047,TUKS,DALAM NEGERI,Bag Cargo,General Cargo,1727,,September,2025,0,908145,7223100
BMV013000053,PKK.DN.IDSUB.2509.000438,UMUM,DALAM NEGERI,Petikemas,General Cargo,1274,,September,2025,110838,846990,2834880
MK3313000071,PKK.DN.IDSUB.2509.000496,UMUM,DALAM NEGERI,Petikemas,Container Ship,8203,,September,2025,1903096,1188270,6756956
BIMX13000026,PKK.DN.IDGRE.2509.000382,TUKS,DALAM NEGERI,Tanpa Kemasan,Kapal Motor Tunda (Tug Boat),153,,September,2025,0,0,0
KOGE13000001,PKK.DN.IDGRE.2508.000819,UMUM,DALAM NEGERI,Curah Kering,Tongkang Geladak (Deck Barge),1656,,September,2025,661076,1218060,3617550
