total,index,total_page,vessel_name,movement,grt,revenue,mobile,web,partial
45,23,1,KT. JAYANEGARA 306,3916,55949256.0,35633651816,3802,96,18
45,22,1,KT. JAYANEGARA 304,4168,56830522.2,34743927391,4101,33,34
45,24,1,KT. JAYANEGARA 308,3433,52765310.0,32721179381,3371,38,24
45,43,1,TB. SEMAR 82,4191,54490797.0,32532688075,4140,26,25
45,44,1,TB. SEMAR 83,4194,54670718.6,32332461895,4146,34,14
45,25,1,KT. JAYANEGARA 401,2482,47323129.0,30761511512,2444,28,10
45,7,1,KRESNA 3116,1978,19962493.0,21394565858,1943,26,9
45,20,1,KT. JAYANEGARA 203,2025,18353544.0,19224889419,1996,27,2
45,32,1,KT.JAYANEGARA 305,1360,18603418.0,15935868354,1341,17,2
45,33,1,MAIDEN PORT,1237,5134403.0,6867740356,22,1215,0
45,36,1,SEROJA HERCULES II,1384,5151904.0,6389862405,2,1381,1
45,29,1,KT. SEROJA HERCULES I,1163,4716656.0,5978784546,0,1163,0
45,31,1,KT. SUBALI II,1974,5049281.0,5368063690,1914,53,7
45,41,1,TB. MARINA VISION,641,6971016.0,4916155887,626,4,11
45,45,1,TPS BETA,1447,8884034.2,4076326599,1420,14,13
45,11,1,KT. ANOMAN III,1339,7055171.6,3554136822,1290,39,10
45,10,1,KT. ANOMAN 1,1222,7165021.6,3534221954,1205,10,7
45,26,1,KT. JAYENGRONO,725,3488430.0,3484681723,713,9,3
45,40,1,TB. FANNY 26,967,5780756.6,2545129768,828,137,2
45,37,1,TB AAL VICTORY ,467,4359162.2,2473587995,462,3,2
45,17,1,KT. FATIMAH 01,672,4099437.0,1692355184,645,26,1
45,2,1,ANOMAN IX,503,2729632.0,1315116447,486,14,3
45,3,1,BIMA 315,263,2347503.0,1173644933,257,5,1
45,30,1,KT. SUBALI I,369,1540876.0,842490218,363,4,2
45,39,1,TB. BINTANG BISMA 3309,228,1685956.0,794853925,218,10,0
45,1,1,ANOMAN IV,270,1349368.0,715908024,266,1,3
45,42,1,TB. PETRO BANTENG,211,1404918.0,687450594,211,0,0
45,6,1,FANNY 26,148,1020533.0,430320399,1,147,0
45,5,1,BINTANG BUANA 09,114,670934.0,402230405,108,5,1
45,38,1,TB KHADIJAH 01,183,1058077.0,381362856,179,1,3
45,27,1,KT. K S D 07,76,641541.0,285860319,2,73,1
45,8,1,KT DL 05,72,436940.0,215335042,59,13,0
45,13,1,KT. BIMA 333,7,51329.0,49205660,6,1,0
45,35,1,SEDAYU 01,11,51248.6,19865209,11,0,0
45,19,1,KT. JAYANEGARA 202,2,12442.0,17748718,1,1,0
45,15,1,KT. BIMA V,1,26400.0,8184000,1,0,0
45,28,1,KT. KRESNA 306,2,20330.0,6992396,2,0,0
45,21,1,KT. JAYANEGARA 302,1,7098.0,2928268,0,1,0
45,14,1,KT. BIMA IV,1,7098.0,2928268,0,1,0
45,4,1,BINTANG BIMA 3209,2,13578.0,2808856,1,1,0
45,18,1,KT. JAYANEGARA 201,1,4704.0,2748718,1,0,0
45,12,1,KT. BIMA 324,1,4489.0,2186074,0,1,0
45,9,1,KT JOYOBOYO I,1,4164.0,2166574,1,0,0
45,16,1,KT. BIMA VI,1,1232.0,1414920,0,1,0
45,34,1,"ORIENT VICTORY 1, TB",1,2999.0,760470,0,1,0
