no_pkk,no_pkk_inaportnet,vessel_name,company_name,name_process_code,gt,loa,name_branch,departure_date
FI9625000011,PKK.DN.IDBDJ.2509.003081,FINACIA 96,MEGA BAHTERA KENCANA PT,Request PPKB,3146.0,87.78,BANJARMASIN,2025-09-26T15:00:00.000Z
XP8G25000124,PKK.DN.IDBDJ.2509.003080,MBP 1515,"TERA LOGISTIC INDONESIA, PT",Request PPKB,7251.0,120.0,BANJARMASIN,2025-09-26T15:00:00.000Z
I7QP25000111,PKK.DN.IDBDJ.2509.003077,PULAU TIGA 345,"TERA LOGISTIC INDONESIA, PT",Request PPKB,4575.0,105.16,BANJARMASIN,2025-09-26T15:00:00.000Z
R40P25000071,PKK.DN.IDBDJ.2509.003074,TAMA 3086,"MULTI LINE BORNEO, PT",Request PPKB,3492.0,91.44,BANJARMASIN,2025-09-27T15:55:00.000Z
B02183000001,PKK.DN.IDSMQ.2509.000400,BAHARI 30021,"PELAYARAN ANDHARA ADHYA JAYA, PT",Request PPKB,3175.0,91.44,SAMPIT,2025-10-03T16:00:00.000Z
G33657000001,PKK.DN.IDSTU.2503.000027,GOLD TRANS 3306,"PELAYARAN LAKSITA ADITYA PARAMA, PT",Request PPKB,4259.0,100.65,KOTABARU,2025-03-03T02:28:00.000Z
SYXN57000001,PKK.DN.IDSTU.2407.000165,DEWI IRIANA 5,"DIAN CIPTAMAS AGUNG, PT",Request PPKB,3987.0,100.5,KOTABARU,2024-07-13T15:00:00.000Z
I3I225000001,PKK.DN.IDBDJ.2509.003068,ROSEMARY 02,"MULTI LINE BORNEO, PT",Request PPKB,3136.0,91.52,BANJARMASIN,2025-09-24T15:55:00.000Z
SAIL25000082,PKK.DN.IDBDJ.2509.003070,SAILA,"MASADA JAYA LINES, PT",Request PPKB,3075.0,91.44,BANJARMASIN,2025-09-27T15:00:00.000Z
89DN25000004,,ENTRADA 3001,BUANA MITRA SAMUDERA PT,Request PPKB,3433.0,91.44,BANJARMASIN,2025-09-24T10:00:00.000Z
FXCR25000013,PKK.DN.IDBDJ.2509.003061,RMN 354,"KARTIKA SAMUDRA ADIJAYA, PT",Request PPKB,3141.0,87.78,BANJARMASIN,2025-09-25T00:00:00.000Z
EL5E25000001,PKK.DN.IDBDJ.2509.003059,ROSEMARY 01,"MULTI LINE BORNEO, PT",Request PPKB,3139.0,91.52,BANJARMASIN,2025-09-24T15:55:00.000Z
S23457000054,PKK.DN.IDKBU.2509.000606,SABUK NUSANTARA 93,"PELAYARAN NASIONAL INDONESIA (PERSERO), PT",Realization,1255.0,62.8,KOTABARU,2025-09-23T06:00:00.000Z
DP3625000089,PKK.DN.IDBDJ.2509.003049,DUTA PERKASA 3006,"MULTI LINE BORNEO, PT",Request PPKB,3508.0,91.44,BANJARMASIN,2025-09-26T15:55:00.000Z
GT3057000001,PKK.DN.IDSTU.2404.000120,GOLD TRANS 3301,"PELAYARAN LAKSITA ADITYA PARAMA, PT",Request PPKB,4270.0,100.65,KOTABARU,2024-04-07T15:00:00.000Z
CUFA57000002,PKK.DN.IDSTU.2412.000087,GOLD TRANS 3308,"PELAYARAN LAKSITA ADITYA PARAMA, PT",Request PPKB,4550.0,100.58,KOTABARU,2024-12-07T06:03:00.000Z
RM6725000037,PKK.DN.IDBDJ.2509.002841,RMN 367,"KARTIKA SAMUDRA ADIJAYA, PT",Request PPKB,3033.0,87.78,BANJARMASIN,2025-09-23T05:00:00.000Z
S03525000089,PKK.DN.IDBDJ.2509.003053,SANTAN 3005,"MULTI LINE BORNEO, PT",Request PPKB,3492.0,91.44,BANJARMASIN,2025-09-26T15:55:00.000Z
MF1023000140,PKK.DN.IDBJU.2509.000155,MUTIARA FERINDO 1,"ATOSIM LAMPUNG PELAYARAN, PT",Request PPKB,18460.0,166.0,TANJUNG WANGI,2025-09-24T13:00:00.000Z
R33625000030,PKK.DN.IDBDJ.2509.003050,RIMAU 3336,"RIMAU BAHTERA SHIPPING, PT",Request PPKB,4492.0,100.58,BANJARMASIN,2025-09-30T05:17:00.000Z
5GC025000001,PKK.DN.IDBDJ.2509.003048,BUANA OCEAN 16,PT Immanu Sukses Bersama,Request PPKB,839.0,54.86,BANJARMASIN,2025-09-30T15:00:00.000Z
G30257000001,PKK.DN.IDSTU.2407.000187,GOLD TRANS 3302,"PELAYARAN LAKSITA ADITYA PARAMA, PT",Request PPKB,4270.0,100.65,KOTABARU,2024-07-15T15:00:00.000Z
CN2029000036,PKK.DN.IDKOE.2509.000167,CAMARA NUSANTARA 2,"LUAS LINE, PT",Request PPKB,1587.0,69.78,TENAU KUPANG,2025-09-26T15:55:00.000Z
BLRU25000134,PKK.DN.IDBDJ.2509.003043,BELURU,"TERA LOGISTIC INDONESIA, PT",Request PPKB,4408.0,105.16,BANJARMASIN,2025-09-26T15:00:00.000Z
MG5K74000019,PKK.DN.IDKUM.2509.000135,MERATUS CIWANDAN,"MERATUS LINE, PT",Request PPKB,5262.0,109.8,KUMAI,2025-09-26T01:00:00.000Z
TQ1O25000001,PKK.DN.IDBDJ.2509.003039,ENTRADA 3003,"BARUNA PASIFIK RAYA, PT",Request PPKB,3350.0,91.44,BANJARMASIN,2025-09-24T15:00:00.000Z
RI3625000021,PKK.DN.IDBDJ.2509.003041,RIMAU 3006,"RIMAU BAHTERA SHIPPING, PT",Request PPKB,3389.0,87.78,BANJARMASIN,2025-09-30T03:26:00.000Z
444M74000009,PKK.DN.IDKUM.2509.000134,MUSI,"PERTAMINA TRANS KONTINENTAL, PT",Request PPKB,2370.0,85.0,KUMAI,2025-09-25T03:26:00.000Z
PIOZ25000017,,YOHANNA 2,"SAUFA KHALID MARITIM SAMUDERA, PT",Request PPKB,2122.0,82.3,BANJARMASIN,2025-09-23T05:00:00.000Z
555L25000044,,LAMPAN,"TERA LOGISTIC INDONESIA, PT",Request PPKB,7120.0,112.5,BANJARMASIN,2025-09-23T15:30:00.000Z
E10F25000120,PKK.DN.IDBDJ.2509.003026,TUNJUNG MADYA 3,"GLOBAL TRANS ENERGY INTERNASIONAL, PT",Request PPKB,3478.0,87.78,BANJARMASIN,2025-09-24T15:00:00.000Z
EX6S25000117,PKK.DN.IDBDJ.2509.003024,INGGRID,"GLOBAL TRANS ENERGY INTERNASIONAL, PT",Request PPKB,3399.0,91.44,BANJARMASIN,2025-09-24T15:00:00.000Z
CVQS57000001,PKK.DN.IDSTU.2501.000235,RALINE 10,PT. BATULICIN NUSANTARA MARITIM Tbk,Request PPKB,4179.0,100.58,KOTABARU,2028-01-04T12:03:00.000Z
7L4G25000121,PKK.DN.IDBDJ.2509.003021,TUNJUNG MADYA 4,"GLOBAL TRANS ENERGY INTERNASIONAL, PT",Request PPKB,3442.0,91.44,BANJARMASIN,2025-09-24T15:00:00.000Z
L2W826000002,PKK.DN.IDCXP.2509.000103,HABCO PYXIS,"PELAYARAN BAHTERA ADHIGUNA, PT",Request PPKB,23426.0,180.0,TANJUNG INTAN,2025-09-28T00:00:00.000Z
